City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
125,Richards Bay,-28.78,32.04,67.5,93,100,11.97,ZA,light rain
126,Bubaque,11.28,-15.83,81.77,77,77,11.16,GW,broken clouds
127,Cherskiy,68.75,161.3,26.78,96,22,4.43,RU,few clouds
128,Chapais,49.78,-74.85,41.0,48,90,11.41,CA,overcast clouds
129,Ostrovnoy,68.05,39.51,38.62,77,52,15.61,RU,broken clouds
130,Deputatskiy,69.3,139.9,22.57,97,99,14.58,RU,overcast clouds
131,Pecos,31.42,-103.49,89.6,14,1,4.7,US,clear sky
132,Faanui,-16.48,-151.75,78.28,77,7,19.35,PF,clear sky
133,Coquimbo,-29.95,-71.34,59.0,58,100,14.99,CL,overcast clouds
134,Port Hardy,50.7,-127.42,53.6,100,90,3.36,CA,mist
135,Gorontalo,0.54,123.06,75.7,85,98,2.53,ID,overcast clouds
136,Amahai,-3.33,128.92,77.49,86,99,1.72,ID,moderate rain
137,Bandarbeyla,9.49,50.81,77.83,87,26,8.57,SO,light rain
138,Kruisfontein,-34.0,24.73,60.01,92,78,5.01,ZA,light rain
139,Harper,4.38,-7.72,77.47,87,72,10.56,LR,light rain
140,Hithadhoo,-0.6,73.08,83.37,74,100,10.63,MV,overcast clouds
141,Sinnamary,5.38,-52.95,83.61,74,83,11.12,GF,broken clouds
142,Lompoc,34.64,-120.46,84.2,44,1,6.93,US,clear sky
143,Bairiki,1.33,172.98,80.6,78,75,5.82,KI,broken clouds
144,Hofn,64.25,-15.21,47.55,93,100,14.79,IS,light rain
145,San Cristobal,7.77,-72.22,89.6,52,40,8.05,VE,scattered clouds
146,Kondinskoye,59.65,67.41,32.58,92,58,10.51,RU,broken clouds
147,Moree,-29.47,149.85,59.0,72,0,11.41,AU,clear sky
148,Chabahar,25.29,60.64,82.4,69,0,2.26,IR,clear sky
149,Kamsack,51.57,-101.9,48.2,70,90,4.7,CA,overcast clouds
150,Arman,59.7,150.17,40.15,78,100,2.95,RU,overcast clouds
151,Paamiut,61.99,-49.67,35.89,85,15,7.38,GL,few clouds
152,Pisco,-13.7,-76.22,71.6,60,1,19.46,PE,dust
153,Camana,-16.62,-72.71,66.81,64,12,12.35,PE,few clouds
154,Avera,33.19,-82.53,71.6,46,40,6.93,US,scattered clouds
155,Rocha,-34.48,-54.33,50.2,67,84,13.02,UY,broken clouds
156,Buraydah,26.33,43.98,82.4,30,0,9.66,SA,clear sky
157,Stuttgart,48.78,9.18,50.0,93,0,2.24,DE,clear sky
158,Mahebourg,-20.41,57.7,69.8,88,40,1.12,MU,scattered clouds
159,Port Lincoln,-34.73,135.87,57.31,94,100,13.47,AU,overcast clouds
160,Algiers,36.75,3.04,62.6,63,20,5.82,DZ,few clouds
161,Isangel,-19.55,169.27,73.4,88,75,9.17,VU,broken clouds
162,Yvetot,49.62,0.76,52.0,93,100,5.82,FR,overcast clouds
163,Guaruja,-23.99,-46.26,73.99,26,100,8.34,BR,overcast clouds
164,Lere,10.39,8.57,70.11,82,82,2.01,NG,broken clouds
165,Esil,51.96,66.4,50.16,59,83,5.61,KZ,broken clouds
166,Nikolskoye,59.7,30.79,57.99,67,100,4.47,RU,overcast clouds
167,Tiksi,71.69,128.87,24.73,95,67,21.9,RU,broken clouds
168,Palmer,42.16,-72.33,66.0,39,40,5.82,US,scattered clouds
169,Longyearbyen,78.22,15.64,32.0,87,75,1.12,SJ,broken clouds
170,Qasigiannguit,68.82,-51.19,33.8,69,40,4.7,GL,scattered clouds
171,Kitimat,54.05,-128.65,59.0,100,90,2.24,CA,mist
172,Acari,-15.43,-74.62,72.41,49,32,10.45,PE,scattered clouds
173,Komsomolskiy,40.43,71.72,55.4,47,0,4.7,UZ,clear sky
174,Porto Novo,6.5,2.6,80.6,83,40,10.29,BJ,scattered clouds
175,Pop,40.87,71.11,55.4,58,1,4.7,UZ,clear sky
176,Honiara,-9.43,159.95,69.8,100,75,3.62,SB,broken clouds
177,Saint-Francois,46.42,3.91,51.01,93,100,13.87,FR,light rain
178,Taldan,53.67,124.8,36.14,85,99,8.86,RU,overcast clouds
179,East London,-33.02,27.91,60.8,100,90,12.75,ZA,light rain
180,Ribeira Grande,38.52,-28.7,69.8,83,40,10.29,PT,scattered clouds
181,Nabire,-3.37,135.48,75.45,91,100,2.28,ID,moderate rain
182,Constitucion,-35.33,-72.42,52.54,56,4,15.32,CL,clear sky
183,Sorland,67.67,12.69,52.52,76,0,16.28,NO,clear sky
184,Hasaki,35.73,140.83,64.4,93,75,1.12,JP,light rain
185,Kodiak,57.79,-152.41,48.2,81,20,9.17,US,few clouds
186,Nisia Floresta,-6.09,-35.21,82.4,61,98,13.87,BR,overcast clouds
187,Berlevag,70.86,29.09,47.44,80,32,23.06,NO,scattered clouds
188,Betanzos,43.28,-8.21,57.2,76,20,9.17,ES,few clouds
189,Sremski Karlovci,45.2,19.93,77.0,47,100,19.46,RS,overcast clouds
190,Georgetown,5.41,100.34,78.8,94,20,3.36,MY,few clouds
191,Aklavik,68.22,-135.01,44.6,93,40,4.7,CA,scattered clouds
192,Kiunga,-6.12,141.29,72.52,99,100,1.14,PG,light rain
193,Trofors,65.53,13.41,59.0,51,2,11.41,NO,clear sky
194,Portland,45.52,-122.68,62.6,77,75,4.7,US,broken clouds
195,Seoul,37.57,126.98,64.4,77,90,5.91,KR,overcast clouds
196,Broome,42.25,-75.83,59.0,43,40,11.41,US,scattered clouds
197,Amudat,1.95,34.95,74.01,60,98,4.29,UG,overcast clouds
198,Manali,13.17,80.27,86.0,74,75,4.7,IN,mist
199,Itaituba,-4.28,-55.98,100.9,29,83,2.71,BR,broken clouds
200,Freital,51.0,13.65,62.6,72,75,8.05,DE,broken clouds
201,Merauke,-8.47,140.33,78.66,83,100,12.48,ID,overcast clouds
202,Yulara,-25.24,130.99,69.8,73,90,10.29,AU,overcast clouds
