City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
437,Manta,EC,77.0,scattered clouds,-0.95,-80.73,Balandra Hotel
438,Angoche,MZ,75.0,clear sky,-16.23,39.91,Guest House HESADA
440,Pasni,PK,86.49,clear sky,25.26,63.47,3G hotel pasni
442,Alice,US,87.8,clear sky,27.75,-98.07,Holiday Inn Express & Suites Alice
444,Goure,NE,84.0,overcast clouds,13.98,10.27,
446,Mayumba,GA,77.2,overcast clouds,-3.43,10.66,LIKWALE LODGE
449,Gaoual,GN,76.42,overcast clouds,11.75,-13.2,Hotel koliba
453,Natal,BR,82.4,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
454,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
458,Quelimane,MZ,77.0,broken clouds,-17.88,36.89,Hotel Flamingo
466,Kupang,ID,75.87,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
469,Jensen Beach,US,86.0,broken clouds,27.25,-80.23,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
474,Piacabucu,BR,77.56,broken clouds,-10.41,-36.43,Piaçabuçu News
477,Mancora,PE,82.4,clear sky,-4.11,-81.05,Máncora Marina Hotel
480,Labuhan,ID,78.89,few clouds,-6.88,112.21,bador sepret
481,Gondanglegi,ID,76.01,overcast clouds,-7.75,112.01,Gg. Munasir Homestay
482,Sao Filipe,CV,80.46,clear sky,14.9,-24.5,Tortuga B&B
483,Todos Santos,MX,84.99,clear sky,23.45,-110.22,Hotel California Todos Santos
486,Road Town,VG,82.4,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
492,Manadhoo,MV,81.95,overcast clouds,5.77,73.38,Vevu Guesthouse
495,Jalu,LY,88.0,clear sky,29.03,21.55,Jalu Hotel
496,Gayeri,BF,76.62,moderate rain,12.65,0.49,
498,Kirakira,SB,78.71,clear sky,-10.45,161.92,SanBiz Lodge
501,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
505,Majdanpek,RS,77.0,few clouds,44.43,21.95,HOTEL GOLDEN INN
509,Celestun,MX,81.9,light rain,20.87,-90.4,Posada Lilia
510,Paddhari,IN,79.81,clear sky,22.43,70.6,भैरूनाथ पानी पुरी
512,Darapidap,PH,78.82,broken clouds,17.21,120.41,Candon Beach Resort
514,Loiza,PR,84.2,shower rain,18.43,-65.88,Malibu Beachfront
520,Luangwa,ZM,78.62,clear sky,-15.62,30.42,Gerasimos Safari Lodge
525,West Bay,KY,86.0,scattered clouds,19.37,-81.42,Calypso Cove
527,Tecoanapa,MX,85.87,overcast clouds,16.52,-98.75,Hotel Manglares
528,Broken Hill,AU,77.0,broken clouds,-31.95,141.43,Daydream Motel & Cottages
529,Kokopo,PG,78.22,few clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
534,Kununurra,AU,77.0,few clouds,-15.77,128.73,Hotel Kununurra
547,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
549,Ceyhan,TR,78.01,clear sky,37.02,35.82,Ilbeyli Kiz Ogrenci Yurdu
559,Madang,PG,76.24,broken clouds,-5.22,145.8,Comfort Inn Hotel
560,Corn Island,NI,82.09,scattered clouds,12.17,-83.04,Big Fish Guest House
561,Inirida,CO,89.94,heavy intensity rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
570,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
573,Pekan,MY,78.8,few clouds,3.48,103.4,Pekan Budget Hotel
574,Hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
577,Weiser,US,79.0,clear sky,44.25,-116.97,The Colonial Motel
578,Baghdad,IQ,84.2,clear sky,33.34,44.4,Baghdad Hotel
582,Acajutla,SV,84.2,scattered clouds,13.59,-89.83,Stop.
583,Maneadero,MX,89.65,clear sky,31.72,-116.57,Casa De Thompson
585,Yara,CU,87.98,few clouds,20.28,-76.95,Casa de Alexander Leyva Torres
587,Kalmunai,LK,80.28,overcast clouds,7.42,81.82,VS Villa
590,Lufilufi,WS,77.0,overcast clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
593,Thaton,MM,77.18,light rain,16.92,97.37,တိုင်းရင်းဆေး ခရိုင်ဦးစီးဌာနမှူးရုံး
594,Tarata,BO,80.6,few clouds,-17.62,-66.02,TARA TARA Centro Alternativo Hosting
596,Zambezi,ZM,75.94,clear sky,-13.54,23.1,Royal Kutachika Lodge
598,Robore,BO,89.6,broken clouds,-18.33,-59.75,Hotel Las Lajas
600,Bayshore Gardens,US,80.6,moderate rain,27.43,-82.59,Ramada by Wyndham Sarasota
601,Nueva Guinea,NI,83.46,overcast clouds,11.69,-84.46,Posadita La Reyna
602,Shiliguri,IN,77.41,overcast clouds,26.7,88.43,Hotel Vinayak and Restaurant Pamm
603,Tra Vinh,VN,77.27,overcast clouds,9.93,106.35,Hồng Ân
604,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
612,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
620,Lafiagi,NG,77.11,moderate rain,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
621,Calabaca,PH,79.68,scattered clouds,14.3,122.43,
622,Limbang,MY,77.0,broken clouds,4.75,115.0,Purnama Hotel
625,Luanda,AO,75.2,few clouds,-8.84,13.23,EPIC SANA Luanda
626,Entre Rios,BR,77.54,scattered clouds,-11.94,-38.08,Pousada Porteira
629,Le Vauclin,MQ,86.0,few clouds,14.55,-60.84,Hôtel Cap Macabou
634,Emmett,US,79.0,clear sky,43.87,-116.5,Holiday Motel & R.V Park
642,Anse-Bertrand,GP,86.0,overcast clouds,16.47,-61.51,Le Domharry
644,Mbini,GQ,80.6,scattered clouds,1.57,9.61,
645,Natalio,PY,83.64,clear sky,-26.72,-55.08,Casa familia Sánchez
651,Bonthe,SL,78.44,light rain,7.53,-12.51,Bonthe Holiday Village
656,Hirara,JP,79.72,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
657,Varadero,CU,84.2,broken clouds,23.15,-81.25,Hotel Tuxpan Varadero
658,Itororo,BR,86.41,clear sky,-15.12,-40.07,Itajubá Hotel
669,Namatanai,PG,80.19,light rain,-3.67,152.43,Namatanai Hotel
671,Tutoia,BR,81.28,broken clouds,-2.76,-42.27,Pousada Guará's
675,Vila Velha,BR,84.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
678,Puro,PH,80.73,moderate rain,12.48,123.38,
680,Bensonville,LR,75.04,light rain,6.45,-10.61,
682,Guerrero,MX,77.02,clear sky,17.67,-100.0,
685,Aitape,PG,78.01,light rain,-3.14,142.35,
689,Soyo,AO,76.35,overcast clouds,-6.13,12.37,Hotel Mpampa
